salt,m (mol/kg),gamma_pm,a_w,sigma (N/m),kH_eff/kH0,V_d (m^3),D_d (m),y_H2,r_crit (m)
KOH,0.01,0.9528,0.99965,0.07198,0.9969,nan,nan,0.9696,1.412e-06
KOH,0.2662,0.5728,0.99128,0.07231,0.9212,nan,nan,0.9699,1.219e-06
KOH,0.5223,0.5351,0.98304,0.07263,0.8512,nan,nan,0.9701,1.062e-06
KOH,0.7785,0.5173,0.97474,0.07296,0.7865,nan,nan,0.9704,9.333e-07
KOH,1.035,0.5076,0.96637,0.07329,0.7267,nan,nan,0.9706,8.256e-07
KOH,1.291,0.5023,0.95790,0.07363,0.6715,nan,nan,0.9709,7.345e-07
KOH,1.547,0.4997,0.94933,0.07397,0.6205,nan,nan,0.9712,6.567e-07
KOH,1.803,0.4991,0.94068,0.07432,0.5733,nan,nan,0.9714,5.895e-07
KOH,2.059,0.4998,0.93194,0.07468,0.5297,nan,nan,0.9717,5.311e-07
KOH,2.315,0.5016,0.92312,0.07504,0.4895,nan,nan,0.972,4.8e-07
KOH,2.572,0.5042,0.91422,0.07541,0.4523,nan,nan,0.9722,4.35e-07
KOH,2.828,0.5074,0.90525,0.07578,0.4179,nan,nan,0.9725,3.951e-07
KOH,3.084,0.5112,0.89622,0.07616,0.3862,nan,nan,0.9728,3.597e-07
KOH,3.34,0.5155,0.88714,0.07654,0.3568,nan,nan,0.9731,3.281e-07
KOH,3.596,0.5201,0.87800,0.07693,0.3297,nan,nan,0.9733,2.997e-07
KOH,3.852,0.5251,0.86883,0.07732,0.3046,nan,nan,0.9736,2.742e-07
KOH,4.108,0.5303,0.85962,0.07771,0.2815,nan,nan,0.9739,2.513e-07
KOH,4.365,0.5358,0.85038,0.07811,0.2601,nan,nan,0.9742,2.305e-07
KOH,4.621,0.5416,0.84112,0.07851,0.2403,nan,nan,0.9745,2.117e-07
KOH,4.877,0.5475,0.83184,0.07891,0.2221,nan,nan,0.9748,1.946e-07
KOH,5.133,0.5536,0.82254,0.07932,0.2052,nan,nan,0.9751,1.79e-07
KOH,5.389,0.5599,0.81325,0.07972,0.1896,nan,nan,0.9753,1.648e-07
KOH,5.645,0.5663,0.80395,0.08013,0.1752,nan,nan,0.9756,1.519e-07
KOH,5.902,0.5729,0.79466,0.08054,0.1619,nan,nan,0.9759,1.4e-07
KOH,6.158,0.5796,0.78537,0.08095,0.1496,nan,nan,0.9762,1.292e-07
KOH,6.414,0.5864,0.77610,0.08136,0.1382,nan,nan,0.9765,1.192e-07
KOH,6.67,0.5933,0.76685,0.08177,0.1277,nan,nan,0.9768,1.101e-07
KOH,6.926,0.6003,0.75763,0.08218,0.118,nan,nan,0.977,1.017e-07
KOH,7.182,0.6074,0.74843,0.08259,0.109,nan,nan,0.9773,9.4e-08
KOH,7.438,0.6145,0.73927,0.08300,0.1008,nan,nan,0.9776,8.69e-08
KOH,7.695,0.6218,0.73014,0.08340,0.09309,nan,nan,0.9779,8.037e-08
KOH,7.951,0.6291,0.72105,0.08381,0.08602,nan,nan,0.9782,7.435e-08
KOH,8.207,0.6365,0.71200,0.08421,0.07948,nan,nan,0.9784,6.879e-08
KOH,8.463,0.6439,0.70300,0.08461,0.07344,nan,nan,0.9787,6.367e-08
KOH,8.719,0.6514,0.69405,0.08501,0.06786,nan,nan,0.979,5.894e-08
KOH,8.975,0.659,0.68515,0.08541,0.0627,nan,nan,0.9793,5.457e-08
KOH,9.232,0.6666,0.67630,0.08580,0.05794,nan,nan,0.9795,5.053e-08
KOH,9.488,0.6742,0.66751,0.08619,0.05354,nan,nan,0.9798,4.679e-08
KOH,9.744,0.6819,0.65879,0.08658,0.04947,nan,nan,0.9801,4.334e-08
KOH,10,0.6897,0.65012,0.08697,0.04571,nan,nan,0.9803,4.015e-08
H2SO4,0.01,0.8606,0.99951,0.07199,0.9977,nan,nan,0.9696,1.414e-06
H2SO4,0.1636,0.3214,0.99309,0.07224,0.9634,nan,nan,0.9698,1.325e-06
H2SO4,0.3172,0.2699,0.98693,0.07249,0.9302,nan,nan,0.97,1.244e-06
H2SO4,0.4708,0.2445,0.98076,0.07273,0.8982,nan,nan,0.9702,1.17e-06
H2SO4,0.6244,0.2289,0.97451,0.07299,0.8673,nan,nan,0.9704,1.103e-06
H2SO4,0.7779,0.2184,0.96816,0.07324,0.8375,nan,nan,0.9706,1.042e-06
H2SO4,0.9315,0.2108,0.96170,0.07351,0.8087,nan,nan,0.9708,9.849e-07
H2SO4,1.085,0.2053,0.95512,0.07378,0.7809,nan,nan,0.971,9.327e-07
H2SO4,1.239,0.2012,0.94843,0.07405,0.754,nan,nan,0.9712,8.845e-07
H2SO4,1.392,0.198,0.94163,0.07434,0.7281,nan,nan,0.9714,8.398e-07
H2SO4,1.546,0.1957,0.93472,0.07463,0.703,nan,nan,0.9716,7.984e-07
H2SO4,1.699,0.194,0.92770,0.07492,0.6788,nan,nan,0.9718,7.598e-07
H2SO4,1.853,0.1928,0.92059,0.07522,0.6555,nan,nan,0.972,7.238e-07
H2SO4,2.007,0.1919,0.91338,0.07553,0.6329,nan,nan,0.9723,6.902e-07
H2SO4,2.16,0.1915,0.90608,0.07585,0.6111,nan,nan,0.9725,6.588e-07
H2SO4,2.314,0.1913,0.89869,0.07617,0.5901,nan,nan,0.9727,6.293e-07
H2SO4,2.467,0.1914,0.89122,0.07650,0.5698,nan,nan,0.9729,6.016e-07
H2SO4,2.621,0.1916,0.88368,0.07683,0.5502,nan,nan,0.9732,5.755e-07
H2SO4,2.775,0.1921,0.87607,0.07717,0.5313,nan,nan,0.9734,5.51e-07
H2SO4,2.928,0.1927,0.86839,0.07752,0.513,nan,nan,0.9736,5.279e-07
