salt,m (mol/kg),gamma_pm,a_w,sigma (N/m),kH_eff/kH0,V_d (m^3),D_d (m),y_H2,r_crit (m)
KCl,0.01,0.9421,0.99965,0.07198,0.9969,2.656e-09,0.001718,0.9696,1.412e-06
KCl,0.1328,0.5986,0.99604,0.07212,0.9598,2.664e-09,0.00172,0.9697,1.314e-06
KCl,0.2556,0.4777,0.99317,0.07224,0.9242,2.67e-09,0.001721,0.9698,1.225e-06
KCl,0.3785,0.3975,0.99084,0.07233,0.8898,2.675e-09,0.001722,0.9699,1.144e-06
KCl,0.5013,0.3395,0.98892,0.07240,0.8567,2.679e-09,0.001723,0.9699,1.071e-06
KCl,0.6241,0.2956,0.98731,0.07247,0.8248,2.683e-09,0.001724,0.97,1.004e-06
KCl,0.7469,0.2616,0.98592,0.07252,0.7942,2.686e-09,0.001725,0.97,9.428e-07
KCl,0.8697,0.2346,0.98467,0.07257,0.7646,2.689e-09,0.001725,0.9701,8.867e-07
KCl,0.9926,0.2129,0.98351,0.07262,0.7362,2.691e-09,0.001726,0.9701,8.35e-07
KCl,1.115,0.1953,0.98239,0.07267,0.7088,2.694e-09,0.001726,0.9701,7.874e-07
KCl,1.238,0.1807,0.98127,0.07271,0.6825,2.696e-09,0.001727,0.9702,7.434e-07
KCl,1.361,0.1686,0.98010,0.07276,0.6571,2.699e-09,0.001727,0.9702,7.027e-07
KCl,1.484,0.1585,0.97886,0.07281,0.6327,2.702e-09,0.001728,0.9702,6.649e-07
KCl,1.607,0.15,0.97753,0.07286,0.6091,2.705e-09,0.001729,0.9703,6.298e-07
KCl,1.729,0.1429,0.97609,0.07292,0.5865,2.708e-09,0.001729,0.9703,5.972e-07
KCl,1.852,0.1368,0.97451,0.07298,0.5647,2.712e-09,0.00173,0.9704,5.667e-07
KCl,1.975,0.1316,0.97279,0.07305,0.5437,2.715e-09,0.001731,0.9704,5.383e-07
KCl,2.098,0.1272,0.97091,0.07313,0.5234,2.72e-09,0.001732,0.9705,5.117e-07
KCl,2.221,0.1234,0.96887,0.07321,0.504,2.724e-09,0.001733,0.9705,4.868e-07
KCl,2.344,0.1203,0.96667,0.07330,0.4852,2.729e-09,0.001734,0.9706,4.635e-07
KCl,2.466,0.1176,0.96429,0.07340,0.4672,2.735e-09,0.001735,0.9707,4.416e-07
KCl,2.589,0.1153,0.96174,0.07350,0.4498,2.74e-09,0.001736,0.9708,4.21e-07
KCl,2.712,0.1134,0.95902,0.07361,0.4331,2.747e-09,0.001738,0.9709,4.016e-07
KCl,2.835,0.1118,0.95612,0.07373,0.417,2.753e-09,0.001739,0.9709,3.834e-07
KCl,2.958,0.1105,0.95305,0.07386,0.4015,2.76e-09,0.00174,0.971,3.662e-07
KCl,3.081,0.1095,0.94981,0.07399,0.3866,2.768e-09,0.001742,0.9711,3.499e-07
KCl,3.203,0.1087,0.94641,0.07413,0.3722,2.776e-09,0.001744,0.9712,3.346e-07
KCl,3.326,0.1081,0.94284,0.07428,0.3583,2.784e-09,0.001745,0.9714,3.2e-07
KCl,3.449,0.1077,0.93911,0.07444,0.345,2.793e-09,0.001747,0.9715,3.063e-07
KCl,3.572,0.1074,0.93524,0.07460,0.3322,2.802e-09,0.001749,0.9716,2.933e-07
KCl,3.695,0.1073,0.93121,0.07477,0.3198,2.812e-09,0.001751,0.9717,2.809e-07
KCl,3.817,0.1074,0.92704,0.07495,0.3079,2.822e-09,0.001753,0.9718,2.692e-07
KCl,3.94,0.1075,0.92274,0.07513,0.2965,2.832e-09,0.001755,0.972,2.581e-07
KCl,4.063,0.1078,0.91830,0.07532,0.2855,2.843e-09,0.001758,0.9721,2.475e-07
KCl,4.186,0.1082,0.91374,0.07552,0.2748,2.854e-09,0.00176,0.9722,2.375e-07
