Wavenumber	Intensity
97.6598	152
98.4666	145
99.2734	154.5
100.08	155.5
100.887	145.5
101.693	143
102.5	143.5
103.306	156
104.113	165
104.919	166.5
105.726	176.5
106.532	185.5
107.338	177
108.144	166.5
108.95	154.5
109.756	157
110.561	150
111.367	139.5
112.173	148.5
112.978	146
113.784	157.5
114.59	159
115.396	164
116.2	159
117.005	166.5
117.811	151
118.616	148
119.421	151
120.225	144
121.03	150.5
121.835	150.5
122.641	164.5
123.446	158.5
124.249	151
125.054	153.5
125.859	146
126.662	148
127.467	143
128.272	153.5
129.076	147
129.879	141.5
130.684	153
131.488	148.5
132.291	147.5
133.096	150.5
133.898	136.5
134.703	146
135.507	143
136.309	143.5
137.114	153
137.916	157.5
138.72	161.5
139.524	153.5
140.326	161.5
141.13	152
141.932	142
142.736	147
143.538	140.5
144.342	140
145.143	139.5
145.947	143
146.749	149.5
147.552	153
148.354	146
149.157	134
149.959	150
150.762	141
151.563	143
152.366	140.5
153.168	146
153.969	151
154.772	153
155.573	149.5
156.376	137.5
157.177	128
157.978	138
158.78	137.5
159.581	150
160.382	137.5
161.185	141
161.985	149
162.786	150
163.588	144.5
164.389	144.5
165.189	140.5
165.991	145
166.792	147.5
167.592	145.5
168.393	149.5
169.194	147
169.995	154
170.795	153.5
171.595	148.5
172.395	157
173.196	151
173.996	152
174.796	151.5
175.596	146
176.396	150.5
177.195	159.5
177.996	147.5
178.796	145.5
179.596	151.5
180.395	149
181.194	150.5
181.994	146.5
182.793	156
183.592	151
184.391	155
185.192	158
185.991	154
186.79	152
187.589	154
188.388	154.5
189.187	149
189.986	149
190.784	159.5
191.583	153
192.381	152
193.18	151
193.979	170.5
194.777	171.5
195.575	163.5
196.372	162.5
197.17	173
197.969	180.5
198.767	173.5
199.565	180
200.363	179
201.161	184.5
201.959	190
202.757	190.5
203.553	184.5
204.351	195.5
205.148	199
205.946	208.5
206.744	221
207.541	230
208.337	242
209.134	256.5
209.932	259
210.729	283.5
211.526	312.5
212.322	327.5
213.119	378
213.916	410
214.713	452
215.509	494
216.305	544
217.102	609
217.898	649.5
218.694	708.5
219.491	778
220.286	813
221.083	835.5
221.879	849
222.674	816
223.47	798
224.267	734.5
225.061	674
225.858	610
226.652	549
227.448	496.5
228.244	439
229.039	390.5
229.835	372.5
230.629	337
231.425	316.5
232.219	301.5
233.015	285.5
233.809	273
234.605	264.5
235.399	264
236.194	249.5
236.988	235.5
237.783	238.5
238.577	239.5
239.373	236.5
240.166	222.5
240.961	227.5
241.755	222.5
242.548	226
243.343	214.5
244.137	225
244.932	215
245.725	210.5
246.518	207
247.313	213
248.106	210
248.899	205
249.694	210
250.486	199.5
251.279	196.5
252.074	199
252.867	215.5
253.659	193.5
254.453	209
255.246	209.5
256.039	202
256.831	210
257.625	215
258.417	219.5
259.21	219.5
260.002	211
260.794	230
261.588	217.5
262.38	230.5
263.172	230
263.964	244
264.756	245
265.548	256
266.341	260.5
267.133	264.5
267.925	261
268.716	276
269.508	294
270.299	298.5
271.091	297.5
271.882	306.5
272.674	333.5
273.465	330.5
274.256	349
275.049	364
275.84	366.5
276.631	382
277.422	422
278.213	434
279.004	468.5
279.795	501
280.586	509.5
281.375	542.5
282.166	553
282.956	577
283.747	608
284.538	606
285.328	643.5
286.118	629.5
286.909	667.5
287.699	644.5
288.489	643
289.28	630.5
290.07	611.5
290.858	592.5
291.648	581
292.438	552.5
293.228	531.5
294.018	506.5
294.808	491
295.596	465.5
296.386	446.5
297.175	417.5
297.965	398
298.753	398.5
299.543	353.5
300.332	342.5
301.121	315.5
301.909	312.5
302.698	280.5
303.488	277.5
304.277	257.5
305.064	248
305.853	250
306.642	230.5
307.43	231
308.218	221
309.007	207.5
309.794	206
310.583	214
311.37	199
312.159	188.5
312.947	186
313.734	194.5
314.523	182
315.31	183.5
316.098	181
316.885	171.5
317.673	171
318.461	170
319.247	166
320.036	171
320.822	164.5
321.61	163.5
322.396	162.5
323.184	162
323.97	159.5
324.756	154.5
325.544	158.5
326.33	165.5
327.118	158
327.904	159
328.691	158.5
329.477	161
330.263	156
331.05	151.5
331.836	163.5
332.623	160
333.408	154
334.194	158.5
334.981	162.5
335.766	159
336.551	154
337.338	151.5
338.124	157
338.909	156
339.694	161
340.48	152
341.265	152
342.05	168
342.835	156.5
343.622	155
344.406	162
345.191	155
345.976	154.5
346.762	154
347.546	163.5
348.331	164
349.115	167
349.9	161.5
350.684	157
351.47	168
352.254	157
353.038	167
353.823	169
354.607	166
355.391	168
356.175	164
356.958	175
357.742	176.5
358.526	172.5
359.31	189.5
360.095	188.5
360.879	169
361.662	183.5
362.446	178.5
363.229	177
364.013	188
364.796	191.5
365.579	184.5
366.363	194
367.144	195
367.927	206.5
368.71	199.5
369.493	210.5
370.276	207
371.059	208.5
371.842	217.5
372.625	214.5
373.408	227
374.19	224
374.973	232.5
375.754	241
376.537	235.5
377.319	247
378.102	255
378.884	260.5
379.665	269.5
380.447	284
381.229	288
382.011	296
382.793	304
383.574	299.5
384.356	331
385.138	327.5
385.92	342.5
386.7	351
387.482	347.5
388.263	375.5
389.044	374.5
389.825	393.5
390.607	404.5
391.387	419
392.168	439
392.949	456.5
393.729	459.5
394.511	477
395.292	483.5
396.071	505.5
396.853	517.5
397.632	510
398.413	526.5
399.194	545
399.973	539.5
400.754	534.5
401.533	543
402.314	542.5
403.093	532.5
403.874	553.5
404.653	539
405.433	523
406.212	513.5
406.993	485
407.772	484.5
408.552	464.5
409.331	446.5
410.111	432
410.889	417
411.668	381.5
412.448	379.5
413.226	366
414.006	360
414.785	321
415.563	327.5
416.343	315.5
417.121	302.5
417.9	296.5
418.678	279
419.456	275
420.234	268
421.014	252.5
421.792	247
422.569	234
423.349	231.5
424.126	224.5
424.904	218
425.682	211
426.461	212
427.238	202.5
428.015	193
428.793	191
429.572	191.5
430.349	185.5
431.126	190
431.903	174
432.68	181.5
433.457	179.5
434.236	177
435.013	170.5
435.79	178.5
436.566	169
437.343	178.5
438.12	164.5
438.896	168.5
439.673	158
440.45	158.5
441.226	153
442.004	149.5
442.78	144
443.557	149
444.333	152
445.109	156
445.885	151
446.661	140
447.438	153.5
448.214	137.5
448.989	145
449.765	142.5
450.54	142
451.315	137
452.091	152
452.867	138.5
453.642	142.5
454.418	142
455.194	148
455.969	144.5
456.744	138
457.52	141
458.293	145
459.069	143.5
459.844	137.5
460.619	141
461.394	143.5
462.169	151
462.943	144.5
463.717	142
464.492	137.5
465.267	137.5
466.04	137.5
466.815	144.5
467.59	136
468.364	145
469.137	150
469.912	138
470.686	146.5
471.459	140.5
472.233	148.5
473.008	142
473.78	143
474.555	150
475.329	152.5
476.101	148.5
476.875	151
477.649	151.5
478.422	158
479.195	155
479.968	146.5
480.741	167
481.514	160
482.287	161.5
483.061	154.5
483.833	161
484.606	159.5
485.378	166
486.151	166
486.923	160.5
487.696	162
488.468	165.5
489.241	165.5
490.013	169
490.786	171
491.557	176
492.329	168
493.102	175.5
493.873	167.5
494.646	173
495.417	171.5
496.188	163.5
496.961	170
497.732	163
498.503	158.5
499.275	157.5
500.046	170.5
500.817	156
501.589	152.5
502.36	158.5
503.13	150.5
503.902	153
504.673	150
505.444	156.5
506.214	147.5
506.986	146
507.756	148.5
508.526	138.5
509.297	139
510.068	142.5
510.839	148
511.609	149.5
512.379	136
513.149	140
513.919	136.5
514.69	139
515.46	142
516.229	135
516.999	138
517.769	134
518.538	133.5
519.308	133.5
520.077	138.5
520.848	141
521.618	139
522.387	134
523.156	134
523.925	144
524.695	139
525.464	141
526.233	142
527.002	128.5
527.771	132
528.54	137.5
529.308	137.5
530.077	137.5
530.846	135
531.615	133
532.382	134.5
533.15	128.5
533.919	140.5
534.687	141
535.456	137
536.224	150
536.992	142
537.761	143.5
538.527	134.5
539.296	138
540.064	142
540.832	144
541.6	139
542.368	143.5
543.134	145.5
543.902	139.5
544.67	140.5
545.437	147.5
546.204	154.5
546.971	151.5
547.739	155
548.506	151.5
549.272	153
