Wavenumber	Intensity
97.6598	534.5
98.4666	538
99.2734	539.5
100.08	521
100.887	515.5
101.693	508.5
102.5	535.5
103.306	524
104.113	550
104.919	556.5
105.726	550.5
106.532	568.5
107.338	556
108.144	533.5
108.95	552
109.756	529
110.561	535.5
111.367	552
112.173	534
112.978	532
113.784	545
114.59	566
115.396	540
116.2	551.5
117.005	543
117.811	559
118.616	537
119.421	542
120.225	551
121.03	553
121.835	556
122.641	560
123.446	544.5
124.249	554
125.054	554.5
125.859	551.5
126.662	537
127.467	549.5
128.272	554
129.076	554.5
129.879	565
130.684	553
131.488	565
132.291	547.5
133.096	543
133.898	541.5
134.703	564
135.507	543.5
136.309	540
137.114	550.5
137.916	556.5
138.72	557
139.524	560.5
140.326	563
141.13	548
141.932	542
142.736	528
143.538	537
144.342	526.5
145.143	529
145.947	537
146.749	531
147.552	524
148.354	515
149.157	524
149.959	539
150.762	532
151.563	543.5
152.366	526.5
153.168	528
153.969	546.5
154.772	534.5
155.573	532
156.376	548.5
157.177	532.5
157.978	541
158.78	535.5
159.581	551
160.382	556.5
161.185	550
161.985	574
162.786	569
163.588	539
164.389	559
165.189	559
165.991	577
166.792	560
167.592	558.5
168.393	560.5
169.194	547
169.995	580
170.795	572.5
171.595	558.5
172.395	565.5
173.196	560
173.996	558.5
174.796	566
175.596	544
176.396	573
177.195	555.5
177.996	558
178.796	560
179.596	554
180.395	558.5
181.194	581.5
181.994	563
182.793	558
183.592	560.5
184.391	557
185.192	573
185.991	572
186.79	564.5
187.589	561.5
188.388	570.5
189.187	575
189.986	573
190.784	570.5
191.583	571
192.381	577
193.18	577
193.979	585
194.777	592
195.575	591
196.372	589.5
197.17	606
197.969	598
198.767	596.5
199.565	592.5
200.363	592
201.161	604.5
201.959	622
202.757	584.5
203.553	583
204.351	609.5
205.148	597
205.946	586
206.744	596
207.541	600.5
208.337	595
209.134	602.5
209.932	593
210.729	582.5
211.526	576.5
212.322	579
213.119	584.5
213.916	572.5
214.713	561
215.509	562.5
216.305	572
217.102	556.5
217.898	564
218.694	565.5
219.491	556.5
220.286	573.5
221.083	559
221.879	554
222.674	537.5
223.47	566
224.267	568.5
225.061	548.5
225.858	538.5
226.652	546
227.448	553
228.244	546
229.039	563.5
